Word,uniqueID,hold_freq_1,hold_freq_2,hold_freq_3,hold_freq_4,hold_freq_5,hold_freq_6,hold_freq_7
lightbulb,lightbulb,0,0,0,0,3,12,22
lighter,lighter,0,0,0,0,2,7,31
lightning bug,lightning_bug,0,3,7,2,7,11,7
lime,lime,0,0,0,0,0,6,32
limousine,limousine,28,3,1,3,1,1,1
lingerie,lingerie,0,0,0,0,1,14,22
lion,lion,27,7,1,0,0,0,0
lip balm,lip_balm,0,0,0,0,0,10,24
lip gloss,lip_gloss,0,0,1,0,2,8,24
lipstick,lipstick,0,0,0,1,1,8,30
lizard,lizard,0,3,8,9,4,10,2
llama,llama,17,10,6,1,1,1,0
lobster,lobster,2,7,8,2,11,6,3
lock,lock,0,1,2,6,8,10,10
locker,locker,13,6,6,0,2,7,0
locket,locket,0,0,0,0,1,6,30
log,log,7,8,14,1,5,4,0
loincloth,loincloth,0,0,0,3,2,12,18
lollipop,lollipop,0,0,0,1,1,5,28
loom,loom,8,7,6,4,10,1,1
loveseat,loveseat,12,12,7,0,1,1,1
luggage,luggage,0,1,8,4,12,13,1
lumber,lumber,1,4,11,4,13,3,1
lunchbox,lunchbox,0,0,0,0,4,10,25
macadamia,macadamia,0,0,0,0,2,4,31
macaroni,macaroni,1,0,1,1,3,8,25
machete,machete,0,0,2,1,8,16,10
machine gun,machine_gun,2,6,9,1,9,6,2
maggot,maggot,1,1,3,1,6,10,16
magnet,magnet,0,0,0,2,5,16,15
magnifier,magnifier,0,0,1,1,12,13,12
magnifying glass,magnifying_glass,0,0,0,0,2,8,26
mail,mail,0,0,0,1,2,10,23
mailbox,mailbox,2,3,10,6,10,5,0
makeup,makeup,0,0,2,3,4,7,19
mallet,mallet,0,1,1,0,4,21,12
man,man,2,6,9,5,5,9,1
manatee,manatee,17,17,2,0,2,1,0
mandolin,mandolin,0,0,1,2,7,16,12
mango,mango,0,0,1,0,2,3,29
manhole,manhole,7,12,10,3,4,0,0
mannequin,mannequin,0,2,12,4,12,8,2
mantle,mantle,10,11,6,1,2,4,0
map,map,0,0,4,0,6,16,13
maple syrup,maple_syrup,2,4,4,4,4,11,7
marble,marble,0,0,0,0,1,8,28
margarita,margarita,0,1,0,2,3,11,19
marijuana,marijuana,0,0,0,2,2,17,14
marker,marker,0,0,0,0,0,7,29
marmalade,marmalade,1,0,3,5,13,13,3
marshmallow,marshmallow,0,0,0,0,1,10,25
mascara,mascara,0,0,2,0,4,6,27
mashed potato,mashed_potato,0,2,8,2,8,7,10
mask,mask,0,0,0,0,3,10,23
mast,mast,19,8,5,1,3,0,1
mat,mat,0,1,1,3,1,14,17
match,match,0,0,0,0,3,10,25
matchbox,matchbox,0,0,0,0,1,3,33
mattress,mattress,7,13,8,2,5,1,1
measuring cup,measuring_cup,0,0,0,2,1,11,24
meat,meat,0,0,2,1,8,16,8
meat grinder,meat_grinder,1,5,5,3,9,11,3
meatball,meatball,0,0,0,0,4,12,24
meatloaf,meatloaf,0,1,1,1,5,14,16
medal,medal,0,0,0,1,2,14,22
meerkat,meerkat,6,10,7,2,12,2,0
megaphone,megaphone,0,0,2,1,4,13,19
melon,melon,0,0,2,0,9,11,16
memory stick,memory_stick,0,0,0,0,1,10,27
metal detector,metal_detector,0,0,1,1,5,17,12
metronome,metronome,0,0,0,4,8,18,7
microphone,microphone,0,0,0,0,0,10,28
microscope,microscope,0,0,8,2,11,9,7
microwave,microwave,3,10,9,2,9,3,1
milk,milk,3,10,3,7,3,7,4
milkshake,milkshake,0,1,0,2,3,20,12
minivan,minivan,24,10,2,2,1,0,0
mint,mint,0,0,1,0,3,13,20
mirror,mirror,0,3,8,2,11,8,4
missile,missile,25,8,2,1,1,0,0
mistletoe,mistletoe,0,0,0,0,6,12,19
mitten,mitten,0,0,0,0,2,1,32
mixer,mixer,0,2,8,5,10,10,2
moccasin,moccasin,0,0,0,1,2,7,28
modem,modem,0,1,2,0,4,13,18
mold,mold1,0,0,2,2,11,9,15
mold,mold2,2,4,2,9,9,7,3
mole,mole,3,5,11,4,14,2,1
money,money,0,0,0,0,0,13,25
mongoose,mongoose,7,11,10,3,4,1,1
monkey,monkey,4,3,13,4,8,4,0
moose,moose,24,8,3,1,0,1,0
mop,mop,0,0,0,0,2,20,17
mosquito,mosquito,11,7,3,4,2,7,4
mosquito net,mosquito_net,0,2,1,1,7,12,12
moss,moss,1,3,3,6,8,8,7
moth,moth,3,5,7,2,6,11,3
motherboard,motherboard,0,0,3,2,9,12,10
motorcycle,motorcycle,12,7,7,3,3,3,3
mouse,mouse1,1,4,8,1,12,7,5
mouse,mouse2,0,0,0,0,2,15,21
mousepad,mousepad,0,0,0,0,1,9,28
mousetrap,mousetrap,2,1,3,2,4,14,10
mousse,mousse,0,5,3,2,5,9,14
mouth,mouth,5,9,4,8,4,5,3
mouthpiece,mouthpiece,0,0,0,0,4,10,26
mud,mud,2,7,8,2,7,9,3
muff,muff,0,0,1,0,1,11,23
muffin,muffin,0,0,0,0,0,8,31
mug,mug,0,0,0,0,0,5,34
mulberry,mulberry,0,0,0,0,2,7,29
mulch,mulch,0,0,4,2,6,15,10
mullet,mullet,3,4,3,10,6,8,4
mushroom,mushroom,0,0,0,0,2,14,19
music box,music_box,0,0,0,0,7,21,9
mussel,mussel,0,0,0,0,6,12,20
mustache,mustache,3,5,8,7,5,5,6
mustard,mustard,0,4,5,3,7,9,9
