Word,uniqueID,moves_freq_1,moves_freq_2,moves_freq_3,moves_freq_4,moves_freq_5,moves_freq_6,moves_freq_7
eagle,eagle,0,0,0,0,2,2,34
ear,ear,1,4,5,3,14,7,4
earplug,earplug,22,10,0,4,3,0,0
earring,earring,14,6,7,2,3,6,2
earwig,earwig,0,0,0,0,0,6,30
easel,easel,14,8,1,1,8,6,0
easter egg,easter_egg,23,10,1,3,0,0,0
eclair,eclair,24,8,2,1,0,0,0
eel,eel,0,0,0,2,0,8,27
egg,egg,12,13,5,2,2,1,0
egg roll,egg_roll,24,12,2,0,0,0,0
eggbeater,eggbeater,7,3,1,0,12,10,5
eggnog,eggnog,20,6,9,2,2,1,0
eggplant,eggplant,20,11,3,4,0,0,0
eggshell,eggshell,22,11,1,3,0,1,1
elbow,elbow,0,0,0,1,2,8,27
electric chair,electric_chair,20,10,1,3,0,3,0
elephant,elephant,0,0,0,0,1,6,30
emerald,emerald,16,13,4,5,0,0,0
enchilada,enchilada,25,10,1,2,1,0,0
engine,engine,8,4,1,1,11,10,4
envelope,envelope,18,11,4,2,2,1,0
eraser,eraser,24,7,5,1,0,1,0
espresso,espresso,16,11,3,4,3,1,0
exerciser,exerciser,3,2,1,1,13,12,6
exhaust pipe,exhaust_pipe,19,10,0,4,3,0,0
extinguisher,extinguisher,16,6,4,2,5,2,1
eye,eye,0,0,0,0,1,14,23
eye patch,eye_patch,22,8,1,2,3,0,0
eyedropper,eyedropper,15,12,0,4,1,3,0
eyeliner,eyeliner,24,6,2,1,1,1,1
eyepiece,eyepiece,20,11,3,2,2,1,0
face,face,0,1,0,1,5,14,17
face mask,face_mask,20,8,2,4,3,1,0
fan,fan,2,1,0,2,10,10,12
fast food,fast_food,19,11,3,1,0,1,0
faucet,faucet,10,9,4,3,7,3,2
feather,feather,10,2,6,2,11,6,3
fence,fence,23,10,2,2,1,0,0
fencepost,fencepost,24,10,1,1,0,1,1
fern,fern,3,6,2,4,14,4,2
ferret,ferret,0,0,0,0,0,5,35
ferris wheel,ferris_wheel,0,1,0,0,4,14,17
ferry,ferry,0,0,0,0,0,7,27
fig,fig,20,9,4,0,2,1,0
figurine,figurine,21,12,1,4,2,0,0
file,file1,16,7,3,0,6,2,1
file,file2,14,9,3,4,4,1,0
filing cabinet,filing_cabinet,13,12,3,3,3,2,1
film,film,13,8,2,1,12,2,1
filter,filter,23,6,1,1,2,1,0
finger,finger,0,0,0,0,1,6,30
fingerprint,fingerprint,19,10,3,1,2,2,0
fire,fire,1,3,1,5,8,12,10
fire alarm,fire_alarm,20,10,2,1,3,1,1
fire hydrant,fire_hydrant,28,6,4,2,0,0,0
fire pit,fire_pit,21,11,1,1,3,0,2
firecracker,firecracker,13,4,0,6,9,3,1
fireplace,fireplace,22,7,3,3,0,2,0
firetruck,firetruck,1,0,0,0,2,6,25
firewood,firewood,14,14,2,2,1,1,0
fireworks,fireworks,3,2,3,0,9,11,10
first-aid kit,first-aid_kit,23,7,0,2,3,1,2
fish,fish,0,0,0,0,3,4,30
fishbowl,fishbowl,17,13,2,0,5,0,1
fishhook,fishhook,14,8,2,3,3,1,2
fishing pole,fishing_pole,7,4,1,5,2,14,2
fishnet stockings,fishnet_stockings,16,4,2,4,7,1,1
flag,flag,0,3,0,5,12,9,9
flagpole,flagpole,22,7,2,1,0,4,0
flamethrower,flamethrower,9,5,6,7,6,5,0
flamingo,flamingo,0,0,0,0,0,6,28
flan,flan,13,9,3,3,6,2,2
flashbulb,flashbulb,17,11,3,1,3,1,1
flashlight,flashlight,16,11,4,1,7,0,0
flask,flask,26,8,1,2,2,0,0
flatiron,flatiron,13,8,4,5,6,1,0
flip-flop,flip_flop,14,5,5,1,4,2,1
flipper,flipper,10,12,0,4,5,7,1
