Word,uniqueID,heavy_freq_1,heavy_freq_2,heavy_freq_3,heavy_freq_4,heavy_freq_5,heavy_freq_6,heavy_freq_7
sandpaper,sandpaper,26,8,4,1,0,0,0
sandwich,sandwich,20,13,2,3,1,0,1
sarcophagus,sarcophagus,0,0,0,2,1,9,23
sardine,sardine,16,14,3,3,0,0,0
satellite,satellite,0,0,0,0,1,6,31
satellite dish,satellite_dish,0,0,0,1,1,11,22
sauce,sauce,14,11,5,3,2,1,0
saucer,saucer,16,8,6,5,1,2,0
sauerkraut,sauerkraut,18,11,4,1,0,1,1
sausage,sausage,7,11,8,1,10,2,0
saw,saw,4,9,13,2,9,2,0
sawhorse,sawhorse,0,2,2,4,15,13,4
saxophone,saxophone,0,2,6,5,18,8,1
scaffold,scaffold,1,2,0,1,1,15,17
scaffolding,scaffolding,1,0,1,2,3,9,22
scale,scale,3,2,3,7,16,4,2
scallion,scallion,27,8,0,0,0,0,0
scallop,scallop,14,15,4,0,0,0,1
scalpel,scalpel,27,3,3,0,2,0,0
scanner,scanner,0,3,5,1,19,7,2
scarecrow,scarecrow,3,9,10,7,8,1,2
scarf,scarf,32,5,2,0,0,0,0
school bus,school_bus,0,0,0,0,0,1,36
scissors,scissors,24,5,2,1,4,0,0
scone,scone,23,9,3,1,3,0,0
scoop,scoop,21,7,5,4,0,0,0
scooter,scooter,3,9,8,4,9,1,1
scoreboard,scoreboard,0,0,0,0,0,5,30
scorpion,scorpion,21,10,2,1,1,1,0
scrabble,scrabble,14,17,3,2,1,0,0
scrambled egg,scrambled_egg,28,5,3,1,0,0,0
scraper,scraper,18,15,2,1,2,0,0
screen,screen1,0,2,3,3,16,9,5
screen,screen2,17,10,5,6,1,0,0
screw,screw,25,9,2,1,0,0,0
screwdriver,screwdriver,12,16,2,6,3,0,0
scuba,scuba,1,0,2,1,17,10,6
sea urchin,sea_urchin,18,12,6,2,2,0,0
seafood,seafood,7,11,6,8,5,0,0
seagull,seagull,8,13,7,7,4,1,0
seahorse,seahorse,20,13,4,3,0,0,0
seal,seal,0,1,0,1,5,13,14
seaplane,seaplane,0,0,0,0,0,5,32
seatbelt,seatbelt,18,10,5,1,1,0,0
seaweed,seaweed,9,17,3,5,3,1,0
seed,seed,27,8,1,0,0,0,0
seesaw,seesaw,0,0,1,2,9,17,9
seismograph,seismograph,0,1,0,4,3,19,12
sequin,sequin,33,2,3,1,0,0,0
sewage,sewage,0,1,3,10,11,9,5
sewing kit,sewing_kit,25,6,1,2,0,0,0
sewing machine,sewing_machine,3,1,5,2,14,8,6
shaker,shaker,9,13,2,3,9,3,0
shark,shark,0,0,0,1,1,8,30
shaving cream,shaving_cream,28,12,0,0,0,0,0
shawl,shawl,15,15,2,3,2,1,0
shears,shears,4,6,9,3,12,2,0
sheath,sheath,14,13,5,3,2,1,0
sheep,sheep,0,0,0,0,9,20,8
sheet,sheet,20,10,2,4,2,0,0
shelf,shelf,0,0,0,1,6,19,9
shell,shell1,16,14,0,3,3,1,0
shell,shell2,17,13,4,2,1,0,0
shell,shell3,19,10,2,3,2,0,0
shield,shield,0,1,2,5,11,11,7
ship,ship,0,0,0,0,0,0,37
shirt,shirt,28,7,1,1,1,0,0
shoe,shoe,14,8,6,2,5,0,0
shoe polish,shoe_polish,21,14,1,0,0,0,0
shoehorn,shoehorn,16,12,4,1,1,0,0
shoelace,shoelace,31,4,2,1,0,0,0
shopping basket,shopping_basket,12,18,4,4,0,0,0
shopping cart,shopping_cart,1,4,2,4,15,10,3
shortbread,shortbread,27,8,0,0,1,0,0
shorts,shorts,25,9,4,0,0,0,0
shoulder,shoulder,5,7,5,11,6,4,1
shovel,shovel,3,2,11,3,16,4,0
shower,shower,3,5,1,2,4,6,14
shower cap,shower_cap,33,4,1,0,0,0,0
shower curtain,shower_curtain,21,12,5,0,0,0,0
showerhead,showerhead,7,19,5,5,3,0,0
shredder,shredder,2,3,7,4,13,7,1
shrimp,shrimp,21,11,3,1,0,0,1
shuffleboard,shuffleboard,1,0,0,0,4,16,18
shutter,shutter,4,3,4,3,13,7,1
sickle,sickle,5,12,4,6,7,3,0
sidecar,sidecar,0,1,0,1,0,15,18
sifter,sifter,18,13,2,1,0,0,0
silicone,silicone,15,8,9,3,3,0,0
silverware,silverware,10,13,3,4,7,2,0
sim card,sim_card,32,6,0,0,0,0,0
sink,sink,0,0,0,0,5,19,13
